retrieved_at_vn,flight_date,direction,scheduled_time,estimated_time,route_airport,flight_number,status_raw,source_airport,route_airport_std,status_group,scheduled_dt,estimated_dt,delay_minutes,label_delay,flight_key,icao_code,report_time_utc,report_time_vn,temperature_c,dew_point_c,wind_direction_deg,wind_speed_kt,visibility_miles,cloud_cover,raw_metar,is_wind_variable,weather_age_minutes,scheduled_hour,scheduled_dayofweek,scheduled_month,sin_hour,cos_hour,airline_code,flight_num_only,minutes_to_departure_at_snapshot,is_estimated_missing,visibility_bin,temp_dew_spread,is_low_visibility
2026-04-17 22:01:45,2026-04-17,Arrival,22:15,22:23,TP. Hồ Chí Minh (SGN),VN148,Đúng giờ,DN,HO CHI MINH (SGN),on_time,2026-04-17 22:15:00,2026-04-17 22:23:00,8.0,0,DN|Arrival|HO CHI MINH (SGN)|VN148|2026-04-17 22:15:00,VVDN,2026-04-17T15:00:00.000Z,2026-04-17 22:00:00,27,25,130.0,7,6.0,BKN@800ft,METAR VVDN 171500Z 13007KT 9999 BKN008 27/25 Q1011 NOSIG,0,1.75,22,4,4,-0.5000000000000004,0.8660254037844384,VN,148,13.25,0,Medium,2,0.0
2026-04-18 00:10:37,2026-04-18,Departure,07:50,07:50,Hà Nội (HAN),VN158,3-16,DN,HA NOI (HAN),other,2026-04-18 07:50:00,2026-04-18 07:50:00,0.0,0,DN|Departure|HA NOI (HAN)|VN158|2026-04-18 07:50:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,7,5,4,0.9659258262890683,-0.25881904510252063,VN,158,459.3833333333333,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,08:50,08:50,Hà Nội (HAN),VN160,3-16,DN,HA NOI (HAN),other,2026-04-18 08:50:00,2026-04-18 08:50:00,0.0,0,DN|Departure|HA NOI (HAN)|VN160|2026-04-18 08:50:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,8,5,4,0.8660254037844387,-0.4999999999999998,VN,160,519.3833333333333,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,09:45,09:45,Hà Nội (HAN),VN164,3-16,DN,HA NOI (HAN),other,2026-04-18 09:45:00,2026-04-18 09:45:00,0.0,0,DN|Departure|HA NOI (HAN)|VN164|2026-04-18 09:45:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,9,5,4,0.7071067811865476,-0.7071067811865475,VN,164,574.3833333333333,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,11:35,11:35,Hà Nội (HAN),VN166,3-16,DN,HA NOI (HAN),other,2026-04-18 11:35:00,2026-04-18 11:35:00,0.0,0,DN|Departure|HA NOI (HAN)|VN166|2026-04-18 11:35:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,11,5,4,0.258819045102521,-0.9659258262890682,VN,166,684.3833333333333,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,13:00,13:00,Hà Nội (HAN),VN168,3-16,DN,HA NOI (HAN),other,2026-04-18 13:00:00,2026-04-18 13:00:00,0.0,0,DN|Departure|HA NOI (HAN)|VN168|2026-04-18 13:00:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,13,5,4,-0.2588190451025208,-0.9659258262890683,VN,168,769.3833333333333,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,16:40,16:40,Hà Nội (HAN),VN174,3-16,DN,HA NOI (HAN),other,2026-04-18 16:40:00,2026-04-18 16:40:00,0.0,0,DN|Departure|HA NOI (HAN)|VN174|2026-04-18 16:40:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,16,5,4,-0.8660254037844384,-0.5000000000000004,VN,174,989.3833333333333,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,13:45,13:45,Hà Nội (HAN),VN172,3-16,DN,HA NOI (HAN),other,2026-04-18 13:45:00,2026-04-18 13:45:00,0.0,0,DN|Departure|HA NOI (HAN)|VN172|2026-04-18 13:45:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,13,5,4,-0.2588190451025208,-0.9659258262890683,VN,172,814.3833333333333,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,18:10,18:10,Hà Nội (HAN),VN178,3-16,DN,HA NOI (HAN),other,2026-04-18 18:10:00,2026-04-18 18:10:00,0.0,0,DN|Departure|HA NOI (HAN)|VN178|2026-04-18 18:10:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,18,5,4,-1.0,-1.8369701987210297e-16,VN,178,1079.3833333333334,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,18:05,18:05,Hà Nội (HAN),VN180,3-16,DN,HA NOI (HAN),other,2026-04-18 18:05:00,2026-04-18 18:05:00,0.0,0,DN|Departure|HA NOI (HAN)|VN180|2026-04-18 18:05:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,18,5,4,-1.0,-1.8369701987210297e-16,VN,180,1074.3833333333334,0,Medium,3,0.0
