Data Retrieved At (VN),Direction,Scheduled Time,Estimated Time,Airport,Flight Number,Status
2026-04-09 22:58:37,Arrival,00:10,00:07,HO CHI MINH,9G886,Arrived
2026-04-09 22:58:37,Arrival,00:25,00:32,HO CHI MINH,VJ1128,Arrived
2026-04-09 22:58:37,Arrival,07:10,07:00,HO CHI MINH,BL6002,Arrived
2026-04-09 22:58:37,Arrival,07:30,07:16,DA NANG,VN156,Arrived
2026-04-09 22:58:37,Arrival,07:55,07:47,HO CHI MINH,VU750,Arrived
2026-04-09 22:58:37,Arrival,07:55,07:52,HO CHI MINH,9G804,Arrived
2026-04-09 22:58:37,Arrival,08:10,08:13,HO CHI MINH,VN206,Arrived
2026-04-09 22:58:37,Arrival,08:15,08:41,HO CHI MINH,VJ124,Arrived
2026-04-09 22:58:37,Arrival,08:40,08:34,HO CHI MINH,9G808,Arrived
2026-04-09 22:58:37,Arrival,08:55,08:47,HUE,VN1540,Arrived
2026-04-09 22:58:37,Arrival,09:10,09:18,HO CHI MINH,VN240,Arrived
2026-04-09 22:58:37,Arrival,09:15,09:03,VINH,VN1716,Arrived
2026-04-09 22:58:37,Arrival,09:15,09:21,DA NANG,VN158,Arrived
2026-04-09 22:58:37,Arrival,09:20,09:11,DA NANG,QH104,Arrived
2026-04-09 22:58:37,Arrival,09:20,09:23,HO CHI MINH,QH204,Arrived
2026-04-09 22:58:37,Arrival,09:40,09:56,HO CHI MINH,VJ126,Arrived
2026-04-09 22:58:37,Arrival,09:50,09:48,VINH,CHBSF999,Arrived
2026-04-09 22:58:37,Arrival,09:55,09:53,QUI NHON,VN1620,Arrived
2026-04-09 22:58:37,Arrival,10:00,09:54,B. MA THUOT,VJ492,Arrived
2026-04-09 22:58:37,Arrival,10:10,10:15,HO CHI MINH,VN208,Arrived
2026-04-09 22:58:37,Arrival,10:10,10:23,CAM RANH,VJ770,Arrived
2026-04-09 22:58:37,Arrival,10:15,10:04,DA NANG,VN160,Arrived
2026-04-09 22:58:37,Arrival,10:35,11:01,CHU LAI,VN1640,Arrived
2026-04-09 22:58:37,Arrival,10:40,11:19,DA NANG,VJ524,Arrived
2026-04-09 22:58:37,Arrival,10:50,10:50,PLEIKU,VJ422,Arrived
2026-04-09 22:58:37,Arrival,10:50,10:59,PLEIKU,VN1614,Arrived
2026-04-09 22:58:37,Arrival,10:50,11:05,HO CHI MINH,9G820,Arrived
2026-04-09 22:58:37,Arrival,10:50,11:11,HO CHI MINH,VJ130,Arrived
2026-04-09 22:58:37,Arrival,11:05,11:34,B. MA THUOT,VN1602,Arrived
2026-04-09 22:58:37,Arrival,11:10,11:14,DA NANG,VN164,Arrived
2026-04-09 22:58:37,Arrival,11:10,11:25,HO CHI MINH,VN244,Arrived
2026-04-09 22:58:37,Arrival,11:30,11:33,DONG HOI,VN1590,Arrived
2026-04-09 22:58:37,Arrival,11:35,11:44,HO CHI MINH,9G824,Arrived
2026-04-09 22:58:37,Arrival,11:40,11:50,HO CHI MINH,VN228,Arrived
2026-04-09 22:58:37,Arrival,11:50,11:41,DA NANG,BL6080,Arrived
2026-04-09 22:58:37,Arrival,11:50,11:54,CAN THO,VN1200,Arrived
2026-04-09 22:58:37,Arrival,11:50,12:11,HO CHI MINH,VJ128,Arrived
2026-04-09 22:58:37,Arrival,12:05,12:39,PHU QUOC,9G1206,Arrived
2026-04-09 22:58:37,Arrival,12:05,12:55,PHU QUOC,VJ1442,Arrived
2026-04-09 22:58:37,Arrival,12:10,12:31,HO CHI MINH,VN210,Arrived
2026-04-09 22:58:37,Arrival,12:20,12:28,HUE,VJ564,Arrived
2026-04-09 22:58:37,Arrival,12:25,13:05,PHU QUOC,VN1236,Arrived
2026-04-09 22:58:37,Arrival,12:30,12:17,DA NANG,VU638,Arrived
2026-04-09 22:58:37,Arrival,13:00,12:58,DA NANG,VN166,Arrived
2026-04-09 22:58:37,Arrival,13:10,13:27,HO CHI MINH,VN246,Arrived
2026-04-09 22:58:37,Arrival,13:10,13:32,HO CHI MINH,QH240,Arrived
2026-04-09 22:58:37,Arrival,13:30,13:29,PHU QUOC,VJ440,Arrived
2026-04-09 22:58:37,Arrival,13:30,13:42,HO CHI MINH,VJ134,Arrived
2026-04-09 22:58:37,Arrival,14:00,15:02,DA NANG,VJ1504,Arrived
2026-04-09 22:58:37,Arrival,14:10,14:20,HO CHI MINH,VN212,Arrived
2026-04-09 22:58:37,Arrival,14:10,14:46,HO CHI MINH,VJ136,Arrived
2026-04-09 22:58:37,Arrival,14:15,14:08,PLEIKU,VJ1428,Arrived
2026-04-09 22:58:37,Arrival,14:20,14:11,CON DAO,VJ102,Arrived
2026-04-09 22:58:37,Arrival,14:25,14:25,DA NANG,VN168,Arrived
2026-04-09 22:58:37,Arrival,14:30,14:56,CAM RANH,VN1552,Arrived
2026-04-09 22:58:37,Arrival,14:35,14:35,CAM RANH,QH1416,Arrived
2026-04-09 22:58:37,Arrival,14:35,14:41,HO CHI MINH,9G840,Arrived
2026-04-09 22:58:37,Arrival,14:35,14:43,DA NANG,VJ510,Arrived
2026-04-09 22:58:37,Arrival,14:40,15:16,DA NANG,9G922,Arrived
2026-04-09 22:58:37,Arrival,15:10,15:07,HO CHI MINH,VN248,Arrived
2026-04-09 22:58:37,Arrival,15:10,15:14,DA NANG,VN172,Arrived
2026-04-09 22:58:37,Arrival,15:10,15:22,CAN THO,VJ464,Arrived
2026-04-09 22:58:37,Arrival,15:10,15:32,QUI NHON,VN1622,Arrived
2026-04-09 22:58:37,Arrival,15:15,15:09,DA NANG,VN7190,Arrived
2026-04-09 22:58:37,Arrival,15:15,15:15,HO CHI MINH,VJ138,Arrived
2026-04-09 22:58:37,Arrival,15:15,15:19,DA NANG,VN170,Arrived
