Data Retrieved At (VN),Direction,Scheduled Time,Estimated Time,Airport,Flight Number,Status
2026-04-09 22:46:34,Arrival,21:30,21:45,Hà Nội,VJ 1127,Đã hạ cánh
2026-04-09 22:46:34,Arrival,21:50,21:55,Huế,VN 1369,Đã hạ cánh
2026-04-09 22:46:34,Arrival,22:05,,Phú Quốc,9G 1986,Đã hạ cánh
2026-04-09 22:46:34,Arrival,21:20,22:05,Huế,VJ 311,Đã hạ cánh
2026-04-09 22:46:34,Arrival,22:10,22:15,Hà Nội,VU 787,Ðang trả hành lý
2026-04-09 22:46:34,Arrival,22:10,22:15,Hà Nội,VN 263,Đã hạ cánh
2026-04-09 22:46:34,Arrival,22:00,22:25,Đà Nẵng,VJ 643,Đã hạ cánh
2026-04-09 22:46:34,Arrival,22:40,22:25,Đà Nẵng,VN 143,Đã hạ cánh
2026-04-09 22:46:34,Arrival,22:40,22:30,Hà Nội,VN 265,Đã hạ cánh
2026-04-09 22:46:34,Arrival,22:40,,Hải Phòng,VN 1187,Đã hạ cánh
2026-04-09 22:46:34,Arrival,22:10,22:45,Hải Phòng,VJ 283,Đã hạ cánh
2026-04-09 22:46:34,Arrival,22:45,22:55,Hà Nội,QH 273,Đã hạ cánh
2026-04-09 22:46:34,Arrival,22:55,22:30,Cam Ranh,VN 1351,Đã hạ cánh
2026-04-09 22:46:34,Arrival,23:10,,Hà Nội,VN 221,
2026-04-09 22:46:34,Arrival,23:10,23:05,Vinh,VN 1269,
2026-04-09 22:46:34,Arrival,22:50,23:10,Vinh,VJ 217,Đến trễ
2026-04-09 22:46:34,Arrival,23:15,,Đà Nẵng,VJ 647,
2026-04-09 22:46:34,Arrival,23:15,22:55,Phú Quốc,VN 1834,Đã hạ cánh
2026-04-09 22:46:34,Arrival,23:30,,Hà Nội,QH 281,
2026-04-09 22:46:34,Arrival,23:35,23:30,Hà Nội,9G 883,
2026-04-09 22:46:34,Arrival,23:35,,Hà Nội,VJ 163,
2026-04-09 22:46:34,Arrival,21:20,,Huế,VJ 311,
2026-04-09 22:46:34,Arrival,21:20,,Đồng Hới,VJ 263,
2026-04-09 22:46:34,Arrival,21:30,,Hà Nội,VJ 1127,
2026-04-09 22:46:34,Arrival,21:35,,Chu Lai,VJ 377,
2026-04-09 22:46:34,Arrival,21:45,,Vinh,VU 551,
2026-04-09 22:46:34,Arrival,21:50,,Huế,VN 1369,
2026-04-09 22:46:34,Arrival,21:55,,Hà Nội,QH 271,
2026-04-09 22:46:34,Arrival,22:00,,Đà Nẵng,VJ 643,
2026-04-09 22:46:34,Arrival,22:05,,Cam Ranh,BL 6151,
2026-04-09 22:46:34,Departure,21:30,21:45,Hà Nội,VJ 1127,Đã hạ cánh
2026-04-09 22:46:34,Departure,21:50,21:55,Huế,VN 1369,Đã hạ cánh
2026-04-09 22:46:34,Departure,22:05,,Phú Quốc,9G 1986,Đã hạ cánh
2026-04-09 22:46:34,Departure,21:20,22:05,Huế,VJ 311,Đã hạ cánh
2026-04-09 22:46:34,Departure,22:10,22:15,Hà Nội,VU 787,Ðang trả hành lý
2026-04-09 22:46:34,Departure,22:10,22:15,Hà Nội,VN 263,Đã hạ cánh
2026-04-09 22:46:34,Departure,22:00,22:25,Đà Nẵng,VJ 643,Đã hạ cánh
2026-04-09 22:46:34,Departure,22:40,22:25,Đà Nẵng,VN 143,Đã hạ cánh
2026-04-09 22:46:34,Departure,22:40,22:30,Hà Nội,VN 265,Đã hạ cánh
2026-04-09 22:46:34,Departure,22:40,,Hải Phòng,VN 1187,Đã hạ cánh
2026-04-09 22:46:34,Departure,22:10,22:45,Hải Phòng,VJ 283,Đã hạ cánh
2026-04-09 22:46:34,Departure,22:45,22:55,Hà Nội,QH 273,Đã hạ cánh
2026-04-09 22:46:34,Departure,22:55,22:30,Cam Ranh,VN 1351,Đã hạ cánh
2026-04-09 22:46:34,Departure,23:10,,Hà Nội,VN 221,
2026-04-09 22:46:34,Departure,23:10,23:05,Vinh,VN 1269,
2026-04-09 22:46:34,Departure,22:50,23:10,Vinh,VJ 217,Đến trễ
2026-04-09 22:46:34,Departure,23:15,,Đà Nẵng,VJ 647,
2026-04-09 22:46:34,Departure,23:15,22:55,Phú Quốc,VN 1834,Đã hạ cánh
2026-04-09 22:46:34,Departure,23:30,,Hà Nội,QH 281,
2026-04-09 22:46:34,Departure,23:35,23:30,Hà Nội,9G 883,
2026-04-09 22:46:34,Departure,23:35,,Hà Nội,VJ 163,
2026-04-09 22:46:34,Departure,21:20,,Huế,VJ 311,
2026-04-09 22:46:34,Departure,21:20,,Đồng Hới,VJ 263,
2026-04-09 22:46:34,Departure,21:30,,Hà Nội,VJ 1127,
2026-04-09 22:46:34,Departure,21:35,,Chu Lai,VJ 377,
2026-04-09 22:46:34,Departure,21:45,,Vinh,VU 551,
2026-04-09 22:46:34,Departure,21:50,,Huế,VN 1369,
2026-04-09 22:46:34,Departure,21:55,,Hà Nội,QH 271,
2026-04-09 22:46:34,Departure,22:00,,Đà Nẵng,VJ 643,
2026-04-09 22:46:34,Departure,22:05,,Cam Ranh,BL 6151,
