iter	RMSE
0	0.6327976201
1	0.6154086699
2	0.5977381798
3	0.5864626849
4	0.5709082409
5	0.5564039449
6	0.5436986787
7	0.533642981
8	0.5257985119
9	0.5151106378
10	0.5045511002
11	0.4943215912
12	0.4865731507
13	0.4781324963
14	0.4697305458
15	0.4619210122
16	0.4539459889
17	0.4463623264
18	0.4411643058
19	0.4323744416
20	0.4273726925
21	0.4224412372
22	0.4169990092
23	0.4129614478
24	0.4109063325
25	0.4061008408
26	0.4017639912
27	0.3988295394
28	0.397078261
29	0.3933053726
30	0.3904108727
31	0.3889948146
32	0.3874489284
33	0.3830036456
34	0.3805063665
35	0.3789796784
36	0.3764631472
37	0.3751806633
38	0.3738888847
39	0.3724330099
40	0.3713970801
41	0.3700687829
42	0.3674843863
43	0.3663354112
44	0.3649991189
45	0.3639133294
46	0.3627983799
47	0.3591652297
48	0.3580681877
49	0.3569801072
50	0.3559189305
51	0.3530190836
52	0.3518900551
53	0.3481136219
54	0.3466234663
55	0.345847134
56	0.34442872
57	0.3430899432
58	0.3421246494
59	0.341236275
60	0.3404723663
61	0.3394949208
62	0.3374811924
63	0.3334770324
64	0.3326123911
65	0.3317205843
66	0.3307375878
67	0.3296171836
68	0.3273067978
69	0.3263701405
70	0.325370664
71	0.3242649497
72	0.3210581801
73	0.3202286385
74	0.3194849723
75	0.3175627424
76	0.3164860962
77	0.313948947
78	0.3128647923
79	0.3118967069
80	0.3111377877
81	0.3080236696
82	0.3074513552
83	0.3066264956
84	0.3059711312
85	0.3053559839
86	0.3043422824
87	0.303686901
88	0.3029393166
89	0.3019557962
90	0.3010469256
91	0.3003146642
92	0.2973641368
93	0.2965251655
94	0.295880118
95	0.2951193225
96	0.2942836766
97	0.2935260099
98	0.29285474
99	0.2921951998
