iter	Passed	Remaining
0	55	5524
1	58	2865
2	62	2031
3	64	1542
4	68	1293
5	69	1089
6	70	938
7	72	830
8	73	747
9	75	676
10	76	617
11	77	570
12	79	531
13	81	499
14	82	465
15	83	436
16	84	412
17	86	391
18	87	372
19	88	354
20	89	337
21	90	321
22	91	306
23	92	293
24	93	280
25	94	268
26	95	258
27	96	249
28	97	239
29	99	231
30	100	223
31	102	216
32	103	209
33	104	202
34	105	195
35	106	189
36	107	182
37	108	176
38	109	171
39	110	166
40	111	160
41	113	156
42	115	152
43	116	147
44	117	143
45	118	138
46	119	134
47	120	130
48	122	127
49	123	123
50	124	119
51	125	116
52	127	112
53	130	111
54	132	108
55	134	105
56	135	102
57	138	100
58	140	97
59	141	94
60	142	91
61	143	87
62	145	85
63	145	82
64	147	79
65	148	76
66	149	73
67	151	71
68	152	68
69	153	65
70	154	63
71	155	60
72	157	58
73	158	55
74	159	53
75	160	50
76	162	48
77	162	45
78	163	43
79	164	41
80	165	38
81	166	36
82	168	34
83	169	32
84	170	30
85	171	27
86	172	25
87	174	23
88	175	21
89	176	19
90	177	17
91	178	15
92	179	13
93	180	11
94	181	9
95	182	7
96	183	5
97	184	3
98	185	1
99	186	0
